,Ticker,Model,Validation_Accuracy,Validation_Precision,Hyperparameter,% of buy signal
0,SPY,random_forest,0.5179282868525896,0.6739130434782609,"[20, 'entropy', 5, 10, 3]",18.326693227091635
1,SPY,svm,0.545816733067729,0.545816733067729,"[0.1, 'linear', 0.001]",100.0
2,SPY,neural_network,0.5577689243027888,0.5625,"[0.001, 1, 2]",82.8685302734375
3,QQQ,random_forest,0.5139442231075697,0.6666666666666666,"[20, 'gini', 5, 2, 1]",13.147410358565736
4,QQQ,svm,0.5338645418326693,0.5465116279069767,"[1, 'poly', 'auto', 3]",68.52589641434263
5,QQQ,neural_network,0.5298804780876494,0.5298804780876494,"[10, 1, 1]",100.0
6,IWM,random_forest,0.5896414342629482,0.5748031496062992,"[100, 'entropy', 10, 2, 1]",50.59760956175299
7,IWM,svm,0.5577689243027888,0.5407407407407407,"[0.1, 'sigmoid', 'auto']",53.78486055776892
8,IWM,neural_network,0.5896414342629482,0.6666666666666666,"[0.001, 1, 8]",22.709163665771484
9,VB,random_forest,0.5338645418326693,0.7272727272727273,"[20, 'gini', None, 2, 3]",8.764940239043826
10,VB,svm,0.5936254980079682,0.631578947368421,"[0.1, 'sigmoid', 'auto']",37.84860557768924
11,VB,neural_network,0.5418326693227091,0.536144578313253,"[0.001, 1, 16]",66.13545989990234
12,IWC,random_forest,0.5776892430278885,0.6067415730337079,"[20, 'entropy', None, 10, 1]",35.45816733067729
13,IWC,svm,0.5139442231075697,0.5063829787234042,"[1, 'linear', 0.001]",93.62549800796812
14,IWC,neural_network,0.5338645418326693,0.5740740740740741,"[0.001, 1, 16]",21.513944625854492
15,FDM,random_forest,0.5537848605577689,0.6363636363636364,"[20, 'gini', None, 2, 5]",21.91235059760956
16,FDM,svm,0.5577689243027888,0.5754716981132075,"[10, 'poly', 'scale', 3]",42.23107569721115
17,FDM,neural_network,0.5776892430278885,0.6842105263157895,"[0.001, 5, 2]",22.709163665771484
