,Ticker,Model,Validation_Accuracy,Validation_Precision,Hyperparameter,% of buy signal
0,SPY,random_forest,0.549800796812749,0.5815602836879432,"[20, 20, 10, 2]",56.17529880478087
1,SPY,svm,0.547808764940239,0.546583850931677,"[1, 'poly', 'scale', 4]",96.21513944223108
2,SPY,neural_network,0.5597609561752988,0.5525773195876289,"[0.01, 5, 8]",96.61354064941406
3,VOO,random_forest,0.547808764940239,0.5733333333333334,"[20, 20, 2, 2]",59.76095617529881
4,VOO,svm,0.547808764940239,0.5443548387096774,"[1, 'poly', 'scale', 3]",98.80478087649402
5,VOO,neural_network,0.549800796812749,0.5806451612903226,"[0.01, 5, 8]",55.57769012451172
6,MDY,random_forest,0.5398406374501992,0.5656565656565656,"[20, None, 10, 2]",59.16334661354582
7,MDY,svm,0.549800796812749,0.5769230769230769,"[1, 'sigmoid', 'scale']",56.97211155378486
8,MDY,neural_network,0.5398406374501992,0.5393939393939394,"[0.01, 10, 4]",98.60557556152344
9,IWM,random_forest,0.5398406374501992,0.5498281786941581,"[20, None, 2, 4]",57.96812749003985
10,IWM,svm,0.5338645418326693,0.5357142857142857,"[10, 'rbf', 'scale']",72.50996015936255
11,IWM,neural_network,0.5239043824701195,0.5342019543973942,"[0.01, 5, 2]",61.15538024902344
