,Ticker,Model,Validation_Accuracy,Validation_Precision,Hyperparameter,% of buy signal
0,SPY,random_forest,0.5179282868525896,0.6739130434782609,"[20, 'entropy', 5, 10, 3]",18.326693227091635
1,SPY,svm,0.545816733067729,0.545816733067729,"[0.1, 'linear', 0.001]",100.0
2,SPY,neural_network,0.5537848605577689,0.5510204081632653,"[0.001, 1, 1]",97.60955810546875
3,QQQ,random_forest,0.5139442231075697,0.6666666666666666,"[20, 'gini', 5, 2, 1]",13.147410358565736
4,QQQ,svm,0.5338645418326693,0.5465116279069767,"[1, 'poly', 'auto', 3]",68.52589641434263
5,QQQ,neural_network,0.5577689243027888,0.5859375,"[0.01, 5, 4]",50.99601745605469
6,IWM,random_forest,0.5896414342629482,0.5748031496062992,"[100, 'entropy', 10, 2, 1]",50.59760956175299
7,IWM,svm,0.5577689243027888,0.5407407407407407,"[0.1, 'sigmoid', 'auto']",53.78486055776892
8,IWM,neural_network,0.5617529880478087,0.5454545454545454,"[0.001, 5, 16]",52.58964157104492
9,VB,random_forest,0.5338645418326693,0.7272727272727273,"[20, 'gini', None, 2, 3]",8.764940239043826
10,VB,svm,0.5936254980079682,0.631578947368421,"[0.1, 'sigmoid', 'auto']",37.84860557768924
11,VB,neural_network,0.5697211155378487,0.7714285714285715,"[0.0001, 5, 8]",13.944223403930664
12,IWC,random_forest,0.5776892430278885,0.6067415730337079,"[20, 'entropy', None, 10, 1]",35.45816733067729
13,IWC,svm,0.5139442231075697,0.5063829787234042,"[1, 'linear', 0.001]",93.62549800796812
14,IWC,neural_network,0.5617529880478087,0.5757575757575758,"[0.01, 5, 8]",39.44223403930664
15,RZV,random_forest,0.5577689243027888,0.5513513513513514,"[20, 'gini', None, 20, 1]",73.70517928286853
16,RZV,svm,0.5298804780876494,0.6111111111111112,"[10, 'poly', 'scale', 3]",21.51394422310757
17,RZV,neural_network,0.545816733067729,0.5677966101694916,"[0.01, 1, 16]",47.01195526123047
