,Ticker,Model,Validation_Accuracy,Validation_Precision,Hyperparameter,% of buy signal
0,SPY,random_forest,0.5179282868525896,0.6739130434782609,"[20, 'entropy', 5, 10, 3]",18.326693227091635
1,SPY,neural_network,0.545816733067729,0.545816733067729,"[10, 1, 2]",100.0
2,QQQ,random_forest,0.5139442231075697,0.6666666666666666,"[20, 'gini', 5, 2, 1]",13.147410358565736
3,QQQ,neural_network,0.5298804780876494,0.5298804780876494,"[10, 1, 1]",100.0
4,IWM,random_forest,0.5896414342629482,0.5748031496062992,"[100, 'entropy', 10, 2, 1]",50.59760956175299
5,IWM,neural_network,0.5697211155378487,0.5460526315789473,"[0.001, 10, 16]",60.557769775390625
6,VB,random_forest,0.5338645418326693,0.7272727272727273,"[20, 'gini', None, 2, 3]",8.764940239043826
7,VB,neural_network,0.5537848605577689,0.7142857142857143,"[0.001, 5, 16]",13.944223403930664
8,IWC,random_forest,0.5776892430278885,0.6067415730337079,"[20, 'entropy', None, 10, 1]",35.45816733067729
9,IWC,neural_network,0.50199203187251,0.0,"[10, 1, 1]",0.0
10,RZV,random_forest,0.5577689243027888,0.5513513513513514,"[20, 'gini', None, 20, 1]",73.70517928286853
11,RZV,neural_network,0.5179282868525896,0.5179282868525896,"[10, 1, 2]",100.0
